,reqnum,unitname,attnum,status
0,2146,D00344939,2,0
1,2146,D00344940,1,0
2,2146,D00344941,2,0
3,2146,D00344942,1,0
4,2146,D00344964,1,0
5,2146,D00344965,2,0
6,2146,D00344966,1,0
7,2146,D00344967,2,0
8,2146,D00344968,2,0
9,2146,D00344969,2,0
10,2146,D00344970,2,0
11,2146,D00345137,2,0
12,2146,D00345138,2,0
13,2146,D00345139,2,0
14,2146,D00345140,1,0
15,2146,D00345141,1,0
16,2146,D00345142,2,0
17,2146,D00345143,2,0
18,2146,D00345144,2,0
19,2146,D00345145,2,0
20,2146,D00345146,1,0
21,2146,D00345147,1,0
22,2146,D00345148,2,0
23,2146,D00345149,1,0
24,2146,D00345150,2,0
25,2146,D00345151,1,0
26,2146,D00345152,1,0
27,2146,D00345153,1,0
28,2146,D00345154,1,0
29,2146,D00345155,1,0
30,2146,D00345156,1,0
31,2146,D00345157,2,0
32,2146,D00345158,2,0
33,2146,D00345183,1,0
34,2146,D00345184,1,0
35,2146,D00345185,2,0
36,2146,D00345186,2,0
37,2146,D00345187,2,0
38,2146,D00345188,2,0
39,2146,D00345189,2,0
40,2146,D00345190,1,0
41,2146,D00345191,2,0
42,2146,D00345192,2,0
43,2146,D00345193,2,0
44,2146,D00345194,1,0
45,2146,D00345195,1,0
46,2146,D00345196,1,0
47,2146,D00345197,1,0
48,2146,D00345198,2,0
49,2146,D00345199,1,0
50,2146,D00345200,2,0
51,2146,D00345201,1,0
52,2146,D00345202,1,0
53,2146,D00345203,2,0
54,2146,D00345204,1,0
55,2146,D00345206,1,0
56,2146,D00345207,1,0
57,2146,D00345208,2,0
58,2146,D00345209,1,0
59,2146,D00345210,1,0
60,2146,D00345211,1,0
61,2146,D00345212,2,0
62,2146,D00345213,2,0
63,2146,D00345214,1,0
64,2146,D00345215,2,0
65,2146,D00345216,1,0
66,2146,D00345217,1,0
67,2146,D00345218,2,0
68,2146,D00345219,2,0
69,2146,D00345220,1,0
70,2146,D00345221,2,0
71,2146,D00345222,2,0
72,2146,D00345223,2,0
73,2146,D00345224,2,0
74,2146,D00345225,2,0
75,2146,D00345226,1,0
76,2146,D00345227,1,0
77,2146,D00345229,1,0
78,2146,D00345230,1,0
79,2146,D00345231,1,0
80,2146,D00345232,2,0
81,2146,D00345233,2,0
82,2146,D00345234,1,0
83,2146,D00345235,2,0
84,2146,D00345236,2,0
85,2146,D00345237,2,0
86,2146,D00345238,1,0
87,2146,D00345239,1,0
88,2146,D00345240,1,0
89,2146,D00345241,2,0
90,2146,D00345242,2,0
91,2146,D00345243,2,0
92,2146,D00345244,1,0
93,2146,D00345245,1,0
94,2146,D00345246,1,0
95,2146,D00345247,1,0
96,2146,D00345248,1,0
97,2146,D00345249,1,0
98,2146,D00345250,2,0
99,2146,D00345252,2,0
100,2146,D00345253,1,0
101,2146,D00345254,2,0
102,2146,D00345255,2,0
103,2146,D00345256,1,0
104,2146,D00345257,2,0
105,2146,D00345258,2,0
106,2146,D00345259,2,0
107,2146,D00345260,1,0
108,2146,D00345261,1,0
